iter	R2	RMSE
187	0.9759857098	1.452849875
188	0.9761339588	1.448358445
189	0.976324276	1.442571997
190	0.9764038587	1.440145454
191	0.9766149946	1.433687836
192	0.9767758525	1.428748389
193	0.9770955273	1.418881128
194	0.9771588157	1.416919485
195	0.977236908	1.414495239
196	0.9773439177	1.411166539
197	0.9774413314	1.408129496
198	0.9775583927	1.404471216
199	0.9776808273	1.400634789
200	0.9778520199	1.395252874
201	0.97795458	1.392018643
202	0.9781783433	1.384936057
203	0.9784695846	1.375663035
204	0.9786155193	1.370992937
205	0.9787005683	1.368263908
206	0.9789751898	1.359414524
207	0.9790301454	1.35763671
208	0.9791419393	1.354012978
209	0.9793347036	1.347741751
210	0.9794178424	1.34502796
211	0.9794841829	1.342858563
212	0.9796029349	1.338966477
213	0.9798141406	1.332016135
214	0.9798916358	1.329456815
215	0.9799748895	1.326701818
216	0.980158975	1.320589728
217	0.9802996313	1.315900466
218	0.9803975335	1.312626667
219	0.980567196	1.306933827
220	0.9806218077	1.305096106
221	0.9806803261	1.303124048
222	0.980703191	1.302352692
223	0.9808149862	1.298574653
224	0.9809323713	1.294595837
225	0.9811450839	1.287354531
226	0.9813862213	1.279095988
227	0.9815299683	1.274147435
228	0.9816239168	1.270902801
229	0.9817784012	1.265549403
230	0.9818597772	1.262720327
231	0.9820181107	1.25719754
232	0.9821650582	1.252050112
233	0.9822027634	1.25072592
234	0.9823232957	1.246483438
235	0.9824843198	1.240793091
236	0.982641589	1.235210136
237	0.9827745474	1.230470438
238	0.9829591082	1.223860793
239	0.9830868066	1.219266583
240	0.9831757567	1.216056163
241	0.9832834986	1.212156116
242	0.9833927163	1.2081898
243	0.983492419	1.204557625
244	0.9837337667	1.195719638
245	0.9838178288	1.19262596
246	0.9839238269	1.188713513
247	0.9839804683	1.18661756
248	0.9840028465	1.185788458
249	0.9840222741	1.185068206
250	0.9841216203	1.181378204
251	0.9841717523	1.179511779
252	0.9842333692	1.177213711
253	0.9842713929	1.175793338
254	0.9843207656	1.173946459
